# planets   transits   detectable
    23222        230           32
    23136        266           46
    23234        240           24
    23246        214           24
    23142        256           20
    22780        232           24
    23066        258           22
    23230        250           34
    23278        258           18
    22952        266           18
    22804        244           24
    22994        254           34
    23184        210           26
    23066        232           34
    22944        240           26
    23126        242           42
    23338        262           32
    22976        274           28
    23518        296           26
    22964        268           28
    23572        260           24
    23358        296           20
    23244        224           28
    23192        260           38
    23012        256           30
    23220        290           38
    23038        258           30
    23624        254           28
    23166        228           26
    23268        240           12
    22772        240           28
    23294        248           30
    23296        254           20
    23354        246           24
    23438        258           28
    23272        232           32
    23248        304           26
    22986        218           32
    23394        310           28
    22846        254           46
    23320        276           38
    23012        258           28
    23052        246           40
    23338        270           38
    23168        268           32
    23028        252           30
    23382        254           30
    22816        268           18
    22948        262           36
    23092        204           18
    22984        240           32
    23142        270           24
    23056        234           24
    22774        192           26
    23314        222           28
    23150        288           26
    22998        266           26
    23562        238           38
    23212        252           34
    23550        288           28
    22766        208           30
    22908        220           38
    22666        248           30
    23240        248           34
    22808        206           22
    22816        272           22
    22846        274           22
    23104        246           30
    23144        242           24
    22754        186           18
    23122        226           14
    23374        284           32
    23264        270           36
    23144        262           24
    23350        256           30
    23078        258           22
    23016        224           28
    23572        298           38
    22744        258           24
    22960        236           26
    22944        244           28
    23186        216           22
    22926        250           22
    23290        244           32
    23216        252           12
    23236        248           26
    23078        204           24
    23254        248           26
    23106        250           28
    23174        238           22
    23108        226           42
    22896        260           16
    22940        220           24
    22934        244           30
    23102        218           36
    23076        266           34
    23102        260           32
    22880        234           18
    23472        216           40
    23254        232           28
    23180        202           20
    22988        208           24
    23254        254           34
    23150        220           24
    22890        214           18
    22796        216           26
    22944        260           16
    22502        260           42
    23102        252           24
    23126        262           28
    22880        252           34
    23012        240           24
    23176        246           26
    23238        260           36
    22946        250           30
    23204        250           28
    23102        220           28
    23028        246           26
    23644        234           22
    23066        276           20
    23018        280           26
    22776        276           40
    23208        250           26
    23122        252           38
    23064        208           22
    22870        238           36
    23060        216           16
    22804        256           26
    23510        234           30
    23186        272           44
    23134        282           34
    22946        252           12
    22596        250           26
    23108        310           48
    22946        216           34
    22520        250           38
    23202        234           28
    22856        218           24
    23118        246           30
    23094        244           16
    22942        246           34
    23360        212           22
    23326        266           24
    23276        242           36
    22994        222           32
    23258        222           32
    22926        238           40
    23206        218           20
    22786        228           32
    23456        246           32
    22956        258           26
    22998        262           46
    22932        226           22
    23466        236           24
    22818        264           36
    23056        248           32
    23080        232           26
    22972        266           26
    23318        210           32
    22898        236           32
    23162        228           20
    22910        244           28
    22848        264           34
    23342        256           30
    23016        250           32
    22940        232           22
    22914        260           38
    23226        288           34
    23034        228           24
    23280        254           34
    22954        262           22
    23108        268           28
    22804        216           26
    22900        232           18
    23166        236           30
    23300        256           42
    23110        216           18
    22746        248           42
    23106        238           16
    23436        252           28
    23410        262           26
    23472        230           18
    23188        244           26
    23252        262           38
    23048        212           28
    22962        198           32
    23080        248           32
    23102        276           18
    22816        244           28
    23146        256           22
    22762        244           20
    22716        238           32
    23360        262           30
    23328        258           28
    23310        264           34
    22996        254           40
    22946        224           16
    23226        246           24
    23198        254           24
    22774        240           26
    23136        220           28
    23230        276           42
    22912        278           34
    22870        256           32
    22872        252           26
    23048        250           28
    23060        232           20
    23084        228           30
    22866        272           36
    22914        280           18
    23276        258           36
    23278        240           30
    22926        260           34
    23090        210           24
    23048        232           34
    23218        236           26
    23268        258           30
    23390        260           28
    22580        316           28
    23060        246           30
    22856        244           34
    23064        236           44
    23164        238           24
    23280        224           36
    23444        274           22
    23034        284           28
    23148        232           24
    23294        276           28
    23100        222           26
    23400        210            6
    22928        262           32
    22506        230           28
    23052        214           16
    23132        248           34
    23006        238           36
    22708        250           28
    23112        248           30
    23316        272           12
    23248        250           34
    23494        258           30
    22942        258           20
    23210        234           32
    23004        230           36
    23140        266           36
    23230        226           18
    23550        294           30
    23192        236           22
    23042        262           24
    22818        224           24
    22930        246           32
    23138        234           30
    22924        262           28
    23038        258           24
    23244        266           30
    22828        248           14
    23560        218           26
    22798        230           36
    23362        260           42
    22762        272           30
    22890        268           32
    22884        258           22
    23246        244           28
    23436        278           28
    23090        280           32
    22958        276           32
    23008        224           24
    23310        224           20
    22834        240           34
    23258        244           32
    23224        212           28
    22956        208           22
    23038        258           44
    23164        294           38
    23132        274           38
    23316        242           16
    23220        250           26
    22868        244           26
    23232        242           40
    22968        276           40
    23474        272           28
    23088        264           32
    23164        238           26
    23276        312           28
    23362        258           34
    23084        278           36
    23054        276           30
    23342        230           22
    22932        238           34
    23120        226           14
    22894        254           30
    23194        230           26
    23026        282           54
    22990        236           24
    22788        236           24
    23014        262           34
    23264        234           26
    23164        238           28
    23044        222           30
    22744        258           30
    22812        234           38
    23310        276           30
    22862        236           34
    23178        196           12
    23266        214           34
    22876        258           34
    23088        236           28
    23062        254           28
    22968        244           34
    22726        244           48
    23186        266           30
    23124        258           30
    23096        226           30
    23106        224           26
    23534        258           28
    22984        244           36
    22836        254           20
    23252        224           16
    23302        244           22
    23272        228           34
    23192        226           24
    23398        230           34
    23140        236           24
    23174        270           34
    23106        236           24
    22882        220           28
    23470        236           28
    23110        206           14
    23190        244           22
    23776        300           42
    23142        250           26
    23322        228           22
    23082        240           20
    22842        216           34
    22874        232           22
    22768        258           40
    23298        256           32
    23380        256           40
    22870        282           44
    22960        238           30
    22954        290           30
    22602        240           22
    23238        224           26
    22766        196           22
    22960        192           18
    22994        224           28
    23118        256           46
    23364        246           20
    22976        300           42
    23342        242           36
    22952        260           40
    22992        250           38
    23066        276           32
    23146        292           30
    23006        244           32
    23294        258           22
    23294        280           36
    23046        254           26
    22978        280           32
    22998        252           18
    23042        270           46
    23504        278           32
    22992        258           22
    23084        236           30
    23226        244           30
    23130        202           30
    23198        250           24
    23020        226           30
    22990        274           30
    23602        256           26
    23008        224           20
    23102        220           18
    23202        264           34
    23480        220           26
    22754        254           20
    23290        268           36
    23112        236           32
    22986        228           24
    22934        236           24
    22846        256           28
    23078        252           36
    22656        242           26
    23326        246           28
    23106        242           30
    22678        192           28
    23108        302           26
    22710        248           40
    23308        242           16
    23108        212           28
    23300        250           28
    23386        242           24
    23220        254           22
    23098        292           42
    23144        228           28
    23010        230           22
    23150        232           30
    23240        252           28
    23048        262           28
    23104        224           24
    23106        230           32
    23376        296           34
    23120        260           20
    22890        258           26
    22968        270           22
    23190        250           38
